_model	model.x	model.y	foc_length	foc_minimum_features	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_part_of_speech	tokens	type
dry.foc10.all.no_ppmi.bound.min1.nav.foc	-0.2127791050730589	0.05087518105123921	1703	1	all	bound	no_ppmi	10_10	foc	1703	nav	300	dry
dry.foc10.all.no_ppmi.bound.min1.all.5000	-0.21074881258159903	0.04426573401326867	1703	1	all	bound	no_ppmi	10_10	5000	5000	all	300	dry
dry.foc10.all.no_ppmi.bound.min1.all.10000	-0.21075469736802654	0.04159813606879246	1703	1	all	bound	no_ppmi	10_10	10000	10000	all	300	dry
dry.foc10.all.no_ppmi.bound.min1.all.foc	-0.21277982084795072	0.050871899386845616	1703	1	all	bound	no_ppmi	10_10	foc	1703	all	300	dry
dry.foc5.nav.ppmi_weight.bound.min1.nav.5000	0.07713065232873444	0.21538173523876247	581	1	nav	bound	ppmi_weight	5_5	5000	5000	nav	296	dry
dry.foc5.nav.ppmi_weight.bound.min1.nav.10000	0.08165784376683673	0.2105785034029347	581	1	nav	bound	ppmi_weight	5_5	10000	10000	nav	296	dry
dry.foc5.nav.ppmi_weight.bound.min1.nav.foc	0.48546018818080666	0.08528034329440697	581	1	nav	bound	ppmi_weight	5_5	foc	581	nav	296	dry
dry.foc5.nav.ppmi_weight.bound.min1.all.5000	0.07828593674640004	0.21515088668184001	581	1	nav	bound	ppmi_weight	5_5	5000	5000	all	296	dry
dry.foc5.nav.ppmi_weight.bound.min1.all.10000	0.08179028954496985	0.2104943308128978	581	1	nav	bound	ppmi_weight	5_5	10000	10000	all	296	dry
dry.foc5.nav.ppmi_weight.bound.min1.all.foc	0.48540675846475123	0.08526754047320982	581	1	nav	bound	ppmi_weight	5_5	foc	581	all	296	dry
dry.foc5.nav.ppmi_sel.bound.min1.nav.5000	0.08439861062212906	0.1941756538114775	581	1	nav	bound	ppmi_sel	5_5	5000	5000	nav	296	dry
dry.foc5.nav.ppmi_sel.bound.min1.nav.10000	0.09272605654008961	0.1919964172216848	581	1	nav	bound	ppmi_sel	5_5	10000	10000	nav	296	dry
dry.foc5.nav.ppmi_sel.bound.min1.nav.foc	0.4553953433865802	0.09765870547312004	581	1	nav	bound	ppmi_sel	5_5	foc	581	nav	296	dry
dry.foc5.nav.ppmi_sel.bound.min1.all.5000	0.08545867104877895	0.1938079047075856	581	1	nav	bound	ppmi_sel	5_5	5000	5000	all	296	dry
dry.foc5.nav.ppmi_sel.bound.min1.all.10000	0.09263936933875117	0.19183492230359953	581	1	nav	bound	ppmi_sel	5_5	10000	10000	all	296	dry
