pmi	raw_freq	raw_co	cw
0.45279762	1879	3	brave/v
-0.6188412	9110	5	brazil/n
4.517828	499	46	breadcrumb/n
0.07130432	86666	95	break/v
3.320573	499	14	breathable/j
0.99482477	361	1	brezhnev/n
-0.4080613	19377	13	brian/n
0.54991794	32221	57	bright/j
-0.0111049535	190002	192	bring/v
1.0349936	2799	8	broccoli/n
0.3350506	704	1	brooch/n
-1.0025184	69459	26	brother/n
0.35825056	4797	7	brow/n
1.9299414	25471	179	brown/j
1.3197541	1574	6	brownie/n
-1.3526504	15432	4	bruce/n
0.11210401	2626	3	bruise/n
2.8345535	9481	165	brush/n
2.1436095	10894	95	brush/v
4.2455616	154	11	brushing/n
2.1069777	237	2	brushwork/n
0.2346704	1546	2	brutally/r
3.835312	21	1	buchbinder/n
0.9031745	1195	3	buff/n
0.068143874	106036	116	build/v
1.7823428	5774	35	bulb/n
0.82748127	429	1	bulbous/j
0.27642423	743	1	bulletproof/j
1.8317698	469	3	burlap/n
1.2289087	28942	101	burn/v
1.7864649	1146	7	burrow/v
-0.5688352	166047	96	business/n
-0.086228155	3220	3	bust/v
0.464969	22737	37	but/i
2.6164153	434	6	butter/v
0.1996746	13664	17	button/n
-0.2115285	108941	90	buy/v
-0.29360765	1610059	1226	by/i
0.0045056907	12668	13	cabinet/n
0.21011919	7156	9	cage/n
1.3311187	15057	58	cake/n
0.69895333	4378	9	calf/n
1.8509419	154	1	calibrated/j
0.2901958	74163	101	california/n
-0.39381582	333209	229	call/v
-0.58990014	25003	14	calorie/n
1.5161918	3010	14	camel/n
0.98249686	1829	5	camp/v
-1.7140385	70577	13	campaign/n
2.0012128	1455	11	campsite/n
1.6639798	11529	62	can/n
0.052005712	1111235	1194	can/v
2.9576275	3030	59	canned/j
1.4597604	10027	44	canyon/n
-0.33132026	142276	104	car/n
2.5016935	162	2	caramel/v
1.4241614	1413	6	cardboard/n
-0.77379	103947	49	care/n
0.8768342	24396	60	carefully/r
1.7812493	329	2	carrion/n
1.7769276	6510	39	carrot/n
0.1111822	84924	97	carry/v
-0.946735	216871	86	case/n
-0.17047967	18577	16	cast/v
0.5427358	23407	41	cat/n
0.21864566	74030	94	catch/v
-1.1036625	29563	10	category/n
1.607747	8230	42	cattle/n
1.1343905	9768	31	cave/n
-1.0435562	19512	7	celebrate/v
2.2634158	2686	26	celery/n
-0.40382576	148290	101	center/n
-0.029380228	56586	56	central/j
-0.48518628	71413	45	certain/j
-2.3594735	31098	3	chairman/n
0.5913593	543	1	chalkboard/n
1.7773844	4828	29	champagne/n
-0.6489766	69295	37	chance/n
5.000417	145	22	chap/v
0.48098764	3031	5	characteristic/j
2.9103713	804	15	chardonnay/n
-0.6590923	45427	24	charge/n
-1.0032027	8089	3	charlotte/n
0.30884606	1439	2	chatter/v
-0.8551379	2317	1	chelsea/n
2.002826	265	2	chessboard/n
0.26645476	24751	33	chest/n
0.6629424	3556	7	chick/n
2.2542882	28004	271	chicken/n
3.3047385	846	23	chicken/v
2.4342847	695	8	chickpea/n
-1.1558619	363384	117	child/n
1.431256	6331	27	chill/n
-0.6208015	65562	36	choice/n
2.87977	8856	157	chop/v
1.454879	6412	28	chunk/n
-1.2603005	93181	27	church/n
1.1011924	325	1	churchyard/n
2.638229	1847	26	cider/n
0.43692937	26616	42	circle/n
1.4395887	2095	9	citrus/n
1.0571302	1711	5	clam/n
-1.2156715	99221	30	class/n
